"","Q7","Q10","Q11","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q28","Q29","Q30","Q31","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q42","Q43","Q44","Q45","Q47","Q49","Q50","Q51","Q52","Q53","Q54","Q56","Q57","Q58","Q59","Q61","Q62","Q63","Q64","Q65","Q66","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"1",1,1,3,1,1,3,4,1,1,3,1,3,2,2,3,2,2,4,1,3,4,2,3,3,2,2,2,3,4,1,2,1,3,2,4,2,2,4,4,2,4,3,3,2,2,3,3,4,2,5,2,3,3,5,3,3,3,2,3,2
"2",4,2,2,2,2,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,4,2,2,1,2,3,3,2,3,2,2,1,2,2,2,3,3,2,2,2,2,2,1,3,2,4,2,4,3,2,2,3,4,3,4,3,3,2,2,3
"3",2,2,3,4,3,3,3,3,4,2,3,3,5,3,3,3,4,5,4,4,4,4,3,4,3,4,4,3,3,2,3,5,1,4,4,4,4,4,4,4,4,3,3,5,3,4,4,5,2,4,2,5,5,5,4,5,3,5,3,4
"4",4,1,3,2,2,5,1,3,5,3,2,4,2,3,4,2,2,4,5,5,4,5,5,5,3,4,4,5,2,1,1,4,4,4,3,5,3,5,2,2,2,1,2,4,2,4,2,5,3,5,3,2,4,3,4,4,4,5,2,4
"5",4,4,2,2,2,3,4,2,4,1,4,3,2,2,3,2,3,4,2,4,4,4,3,3,3,3,3,4,3,1,4,1,1,3,2,2,2,4,3,4,3,2,3,2,2,4,4,4,2,2,1,4,3,3,5,4,2,4,2,4
"6",1,4,3,3,2,5,3,5,5,2,4,5,3,3,5,4,3,5,5,2,4,4,3,5,4,3,3,3,3,3,2,4,5,4,3,3,5,5,5,3,4,3,5,2,2,4,5,4,5,3,1,5,3,5,5,5,3,5,4,3
"7",4,1,2,3,3,2,1,1,3,2,1,3,4,4,1,1,2,1,2,2,3,2,2,3,3,3,2,2,2,1,4,1,4,3,2,3,2,4,2,3,3,1,3,3,4,3,2,3,2,2,3,1,4,1,4,1,2,3,1,2
"8",5,1,3,2,3,1,3,1,3,4,1,5,1,2,3,1,2,3,3,3,3,3,4,3,1,3,1,5,5,1,2,1,4,2,4,3,4,3,5,2,5,3,2,1,1,3,2,2,2,1,1,3,3,3,3,2,3,3,4,2
"9",3,2,5,3,3,2,2,3,2,3,1,5,2,4,3,1,4,1,4,5,4,4,3,4,2,4,3,2,4,1,5,5,3,4,4,3,4,4,3,4,4,4,4,5,1,5,2,4,4,4,4,2,4,5,4,NA,3,5,4,3
"10",1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,3,2,1,1,1,1,3,1,1,1,3,1,2,1,2,1,1,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"11",4,2,3,2,4,4,3,1,4,2,1,4,1,3,3,3,2,3,3,3,4,4,4,3,3,3,3,4,4,2,2,3,2,3,3,3,3,1,4,2,4,3,3,2,3,4,3,3,3,3,3,2,3,4,4,3,3,3,2,3
"12",2,3,3,4,4,3,1,2,4,3,1,4,2,3,4,3,2,4,2,5,3,5,4,5,3,3,3,3,3,2,3,1,4,3,2,5,3,4,3,3,4,3,3,2,2,5,2,4,4,2,4,3,5,5,4,4,3,4,1,5
"13",3,2,3,2,4,2,2,2,3,2,3,3,4,2,4,1,4,5,3,4,1,5,3,3,1,4,2,3,2,1,4,3,1,2,3,4,4,3,1,4,2,3,3,5,2,5,1,2,2,4,1,1,3,2,3,2,1,2,2,1
"14",2,2,1,2,3,4,1,2,2,1,1,3,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,3,2,1,2,1,3,2,2,2,2,1,2,1,3,3,2,1,2,1,2,2,2,2,2,1,2,3,2,1,1,2,2,1
"15",1,1,2,1,3,1,1,1,1,1,1,4,1,1,1,2,1,1,1,5,2,1,4,5,2,2,1,1,3,1,1,1,1,1,1,4,3,3,1,1,4,1,1,1,1,1,3,3,2,5,1,4,3,3,4,3,1,3,3,4
"16",2,3,5,3,3,5,3,1,4,2,2,3,2,5,4,2,5,4,4,3,3,4,4,5,3,5,3,4,3,1,4,1,4,3,2,4,4,5,2,5,3,3,3,4,1,5,2,4,3,2,2,3,5,5,4,4,2,3,1,1
"17",1,1,3,1,3,1,2,4,2,1,2,5,1,1,2,1,2,4,3,2,2,4,2,2,3,2,1,2,4,1,1,1,2,2,3,3,3,1,2,1,3,3,1,1,2,2,1,2,2,2,1,1,2,5,3,1,2,1,1,1
"18",1,2,2,3,3,1,1,1,3,1,1,4,3,2,1,3,2,4,2,4,1,4,2,3,1,1,2,2,4,2,2,2,1,3,1,4,3,3,4,3,4,2,1,3,1,2,3,3,4,3,3,3,2,1,2,3,4,4,3,2
"19",1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,2,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5,2,3,1,3,3,1,1,5,3,1,5,1,1,3,2,1,3,2,5,2,4,2,5,3,3,2,2,5,3,2,1,5,1,5,5,4,1,3,1,5,2,2,1,1,4,1,5,1,3,1,3,4,3,2,5,2,5,1,5
"22",3,1,3,3,4,1,1,1,4,3,1,4,1,5,1,1,4,3,4,4,4,4,4,3,3,5,1,3,5,1,5,1,1,1,4,5,4,1,3,4,5,3,1,3,1,3,3,4,3,4,1,5,4,3,4,5,3,5,1,1
"23",4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,4,1,4,1,3,4,4,4,3,1,4,1,4
